"year","value","state","stcname","stcgroup","units","base"
2022,92.717,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,90.023,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,90.937,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,91.94,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,1.957,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,1.947,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,2.061,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,2.039,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,2.084,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,2.714,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,2.88,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,2.877,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,3.082,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,3.07,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,3.175,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,2.34,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,2.498,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,2.672,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,2.919,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,3.054,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,3.699,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,3.855,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,4.577,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,4.623,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,5.508,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,5.444,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,6.921,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,7.352,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,9.099,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,10.351,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,11.534,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,12.979,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,14.202,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,14.509,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,18.083,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,19.477,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,17.22,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,20.951,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,21.003,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,24.396,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,20.994,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,19.045,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,22.901,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,25.237,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,25.698,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,27.186,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,33.725,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,47.991,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,78.278,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,85.573,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,90.041,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,89.623,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,91.402,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,107.345,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,117.368,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,115.584,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,82.205,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,85.419,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,106.673,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,124.802,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,110.597,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,113.539,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,115.3,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,114.268,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,114.268,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,122.373,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,124.506,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,126.113,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,128.47,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,130.826,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,125.994,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,112.292,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,129.033,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,134.316,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,134.386,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,134.556,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,150.376,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,149.144,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,157.371,"KY","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,5.021,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,4.769,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,5.474,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,5.338,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,5.463,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,6.072,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,6.527,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,7.008,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,7.253,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,8.301,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,8.538,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,9.106,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,9.376,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,9.408,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,10.229,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,11.087,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,11.961,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,12.211,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,13.032,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,13.58,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,13.93,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,15.028,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,16.536,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,18.114,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,19.253,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,26.481,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,24.231,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,27.211,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,31.468,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,37.748,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,40.384,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,18.156,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,16.095,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,18.917,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,24.459,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,25.668,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,26.582,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,30.707,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,36.834,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,35.914,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,34.704,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,35.621,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,44.075,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,42.744,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,48.853,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,49.145,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,54.534,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,62.581,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,69.457,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,73.354,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,71.745,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,85.798,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,77.608,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,76.956,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,75.116,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,97.609,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,95.046,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,107.632,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,103.551,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,105.938,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,106.451,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,110.325,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,106.332,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,110.176,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,110.708,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,99.581,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,104.207,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,106.475,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,107.246,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,108.312,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,107.217,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,109.448,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,124.287,"LA","Occupation and Business","License Taxes","Million Dollars","Nominal"
